Key,English,Russian
Instructions.Titles.Introduction,Introduction,Вступление
Instructions.Titles.DifficultyLevels,Difficulty Level,Уровни сложности
Instructions.Titles.CorrectPosture,Correct Posture,Правильное выполнение упражнений
Instructions.Titles.PlankWorkouts,Plank Workouts,Тренеровка с приложением
Instructions.Titles.BalanceBoardUsage,Balance Board Usage,Использование Smartplank

Instructions.Content.Introduction,"The plank is one of the most effective workouts to create a beautiful figure, align your posture and develop the muscles of the whole body at the same time. Doing sports with the Smartplank simulator will make your workout more dynamic, effective and fun.","Планка одна из самых эффективных тренировок, чтобы создать красивую фигуру, выровнять осанку и одновременно развить мышцы всего тела. Занимаясь спортом с тренажером Smartplank ваша тренировка станет более более динамичной, эффективной и увлекательной."
Instructions.Content.Difficulty1,"Knee Plank
Starting as a sheep, you should start with this plank exercise to get used to the Smartplank. After a few minutes, you will gain experience and feel confident, move on to the plank on the elbows.","Планка на коленях
Начиная, как овечек вы должны начать с этого упражнения планки, чтобы привыкнуть к тренажеру Smartplank. Через несколько минут Вы наберетесь опыта и почувствуете себя уверенно, переходите к планке на локтях."
Instructions.Content.Difficulty2,"Elbow Plank
This is a classic plank exercise. Place your hands on the Smartplank with your elbows bent and try to hold the plank for as long as possible.
PS.
Smartphone games will help you with this.","Планка на локтях
Это классическое упражнение планки. Положите свои руки на Smartplank согнутые в локтях постарайтесь, как можно дольше держать планку.
PS.
В этом вам помогут игры на смартфоне."
Instructions.Content.Difficulty3,"Full Plank
The effort expended on holding the bar on the hands is almost the same as when performing on the elbows. This exercise is performed to diversify classes.","Полная планка
Усилия затраченные на удержание планки на руках практически так же, как и при выполнении на локтях. Данное упражнение выполняется чтобы разнообразить занятия."
Instructions.Content.CorrectPosture1,"When performing the bar, the correct position of the body plays a very important role.","При выполнении планки правильное положение тела играет очень важную роль."
Instructions.Content.CorrectPosture2,"Only correct posture gives the maximum effect of the exercises, and poor posture will lead to discomfort in the back.","Только правильная осанка дает максимальный эффект от упражнений, а плохая осанка приведет к неприятным ощущениям в спине."
Instructions.Content.CorrectPosture3,"Monitor the correctness of the exercises in daily classes.","Контролируйте правильность выполнения упражнений при ежедневных занятиях."
Instructions.Content.PlankWorkouts,"Workout with the app is much more fun and effective. It is recommended to train on the Smartplank Interactive Fitness Trainer. Exercises are divided into 30 breaks.","Тренировка с приложением гораздо более увлекательны и эффективны.  Рекомендуется тренироваться на интерактивным фитнес тренажере Smartplank. Упражнения разделены 30с перерывами."
Instructions.Content.BalanceBoardUsage,"The Smartplank is used for exercises such as the plank. Smartplank can also be used as a balance board to develop the lower body and sense of balance. In this case, the training is done while standing on the board and maintaining balance. For more fun, we recommend playing games by connecting your smartphone to Apple TV or smart TV.","Тренажер Smartplank используется для упражнений таких как планка. Также Smartplank можно использовать в качестве балансировочной доски для развития нижней части тела и чувства равновесия. В этом случае тренировка производится стоя на доске и сохраняя равновесие. Для большего удовольствия мы рекомендуем заниматься играя в игры подключив смартфон к Apple TV или smart TV."


